SYNC_ID,TIMESTAMP,MAC,CSI_LEN,CSI_VALUES
51,0.5007,ac:15:18:d4:c9:64,128,44 -64 2 0 21 -8 20 -8 19 -10 18 -8 18 -8 18 -10 17 -9 18 -11 18 -10 19 -9 17 -9 17 -10 17 -10 19 -10 19 -9 20 -9 18 -8 19 -7 17 -7 17 -6 17 -7 16 -4 17 -4 15 -3 16 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 -2 16 -2 18 -2 18 -2 18 -2 17 -1 19 -1 17 -1 19 -2 18 -1 20 0 19 -2 19 0 19 -1 17 -2 20 -2 18 -3 17 -4 17 -4 18 -4 17 -5 18 -6 17 -5 19 -5 20 -6 19 -5
53,0.5212,ac:15:18:d4:c9:64,128,44 -64 2 0 17 -13 18 -14 15 -14 15 -14 15 -14 15 -15 14 -14 14 -15 14 -14 15 -15 13 -14 14 -15 15 -15 16 -14 18 -15 16 -14 16 -14 16 -12 15 -12 15 -11 15 -11 14 -10 15 -9 14 -8 14 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -8 15 -8 16 -8 17 -8 16 -7 17 -7 17 -7 16 -7 17 -7 15 -7 19 -7 18 -9 18 -7 18 -8 17 -8 18 -8 18 -9 15 -9 16 -9 16 -9 15 -10 16 -11 14 -11 17 -11 17 -13 16 -12
55,0.5413,ac:15:18:d4:c9:64,128,44 -64 2 0 1 -14 1 -15 -1 -13 0 -13 0 -13 0 -13 0 -13 -1 -14 -1 -12 -1 -14 -2 -13 -1 -13 -1 -14 0 -13 0 -14 0 -13 0 -14 1 -13 1 -12 2 -12 2 -12 2 -11 2 -11 2 -10 3 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -11 2 -11 2 -11 2 -12 3 -11 3 -11 3 -11 3 -10 3 -11 2 -11 3 -13 3 -12 3 -12 3 -12 3 -12 3 -12 2 -13 1 -11 2 -12 2 -12 2 -12 2 -13 0 -12 1 -12 0 -13 1 -14
57,0.5621,ac:15:18:d4:c9:64,128,44 -64 2 0 -2 -14 -2 -14 -3 -14 -3 -13 -2 -13 -3 -13 -3 -13 -4 -13 -3 -13 -3 -14 -3 -12 -3 -13 -3 -13 -3 -14 -3 -14 -3 -14 -2 -13 -1 -13 -2 -12 -1 -12 -1 -12 0 -11 1 -11 1 -10 1 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 1 -11 1 -12 1 -12 1 -11 1 -11 1 -12 1 -11 1 -12 1 -11 2 -12 2 -13 2 -12 2 -13 1 -12 1 -13 0 -13 0 -12 0 -12 0 -12 0 -12 -1 -13 -1 -12 -1 -13 -1 -14 0 -14
59,0.5812,ac:15:18:d4:c9:64,128,44 -64 2 0 -15 15 -16 17 -12 16 -14 16 -14 16 -13 16 -12 15 -12 17 -12 15 -12 17 -11 16 -12 17 -13 18 -13 16 -15 18 -13 16 -14 16 -15 14 -13 13 -14 12 -13 12 -13 10 -14 11 -13 10 -14 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 10 -14 9 -14 10 -16 11 -14 9 -16 9 -16 10 -15 9 -16 10 -14 9 -18 10 -17 11 -17 10 -17 11 -16 10 -17 11 -17 12 -13 11 -15 11 -15 12 -14 12 -15 13 -12 12 -15 13 -15 16 -15 14
61,0.6017,ac:15:18:d4:c9:64,128,44 -64 2 0 -13 -19 -14 -19 -14 -16 -14 -16 -13 -16 -14 -16 -13 -15 -15 -16 -14 -15 -15 -16 -14 -15 -15 -15 -15 -15 -15 -16 -15 -18 -15 -16 -14 -17 -13 -17 -12 -16 -11 -16 -11 -16 -10 -15 -10 -16 -9 -15 -8 -15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -16 -6 -16 -7 -17 -7 -18 -6 -17 -6 -18 -6 -19 -6 -17 -6 -19 -6 -17 -6 -20 -8 -19 -6 -19 -7 -19 -7 -18 -8 -20 -8 -19 -9 -16 -9 -17 -8 -18 -9 -16 -11 -18 -10 -15 -10 -18 -13 -18 -11 -18
63,0.6212,ac:15:18:d4:c9:64,128,44 -64 2 0 3 -14 3 -13 2 -14 2 -13 2 -13 2 -13 2 -13 1 -13 2 -13 1 -14 1 -13 1 -13 1 -13 1 -14 1 -14 2 -14 2 -13 2 -13 2 -12 3 -11 2 -12 3 -10 4 -11 4 -10 4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -9 5 -9 6 -10 6 -10 5 -10 5 -10 6 -11 6 -9 6 -10 6 -9 7 -10 7 -10 7 -10 7 -11 6 -10 6 -12 5 -11 4 -11 4 -11 4 -12 4 -11 3 -12 3 -11 5 -12 4 -13 5 -13
64,0.6394,ac:15:18:d4:c9:64,128,44 -64 2 0 20 2 21 3 21 0 20 0 20 1 20 -1 19 0 21 -1 19 -1 21 0 19 -1 20 -1 20 0 21 0 22 1 22 0 21 1 19 2 19 1 18 3 18 2 16 3 17 4 15 3 15 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 4 15 5 17 5 17 6 16 6 16 6 17 6 16 6 18 6 16 5 18 8 19 7 17 7 18 6 16 5 19 7 18 5 17 4 17 4 18 4 18 3 19 3 17 2 19 4 20 3 20 3
67,0.6639,ac:15:18:d4:c9:64,128,44 -64 2 0 13 -3 12 -3 12 -4 11 -3 12 -3 12 -3 12 -3 12 -4 11 -4 12 -4 11 -4 12 -4 12 -4 13 -3 13 -3 13 -3 12 -2 12 -1 11 -2 11 -1 11 -1 10 0 10 0 10 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -1 10 -1 11 -1 11 -1 10 -1 10 0 11 0 10 0 11 0 11 0 12 0 12 -1 12 0 12 -1 11 0 12 0 12 -1 11 -2 11 -1 11 -1 11 -1 12 -2 11 -3 12 -2 12 -3 12 -2
69,0.6797,ac:15:18:d4:c9:64,128,44 -64 2 0 2 -14 2 -14 0 -13 1 -13 2 -13 1 -13 1 -13 0 -14 0 -13 0 -14 0 -13 0 -13 0 -13 1 -13 1 -14 1 -13 1 -13 2 -13 2 -12 2 -11 3 -11 2 -11 3 -11 3 -10 3 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 -10 3 -10 3 -11 4 -12 3 -10 4 -11 4 -11 4 -10 4 -11 3 -10 5 -12 4 -12 4 -12 4 -11 4 -11 4 -12 4 -12 2 -11 3 -12 3 -12 3 -12 2 -12 1 -11 2 -13 2 -13 2 -13
